location,county,date,visitor,algaeobserved,algalid,cyanobacteriadominant,toxinpresent,mcvalue,mcqualifier,cylvalue,cylqualifier,anavalue,anaqualifier,saxvalue,saxqualifier,nodvalue,nodqualifier,othertoxins,comments,datetime,latitude,longitude,sampledepth,picurl
Lake Chelton - between Forrest Rd and Glencoe Rd,Orange,12/28/2021,DEP_CEN_ROC,Yes,Dominant taxon: Dolichospermum planctonicum,Yes,Yes,0.36,I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.),,,,,,,,,Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin: not detected,"Bloom around edge, rainbow cloudy sheen covering majority surface of lake",12/28/2021 20:39,28.5777936,-81.348973,0.3,https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/3351/attachments/2955?token=5-9B4_qFJxwE43FpRKmTcizn9xE4gyQzR7iJriH_WSdv7PgrexGGAhHhsGpscZa8SH_qjt0z84tspBh9UZdaQiiM655xl5nYilYijuNFLU5ctgA5UqoDG-yQnKzdu40YNWB8oief-0n4SY_CsI5ZrvtQHd97t_Zf1Jytpde8Gcx1_zdC8Fhz3OKM_JWL5zg6
Lake Copeland - SE Corner,Orange,12/28/2021,DEP_CEN_ROC,No,mixed algae; no dominant species in sample,No,Yes,0.35,I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.),,,,,,,,,Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin: not detected,,12/28/2021 19:30,28.526,-81.3738,0.3,https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/3350/attachments/2953?token=5-9B4_qFJxwE43FpRKmTcizn9xE4gyQzR7iJriH_WSdv7PgrexGGAhHhsGpscZa8SH_qjt0z84tspBh9UZdaQiiM655xl5nYilYijuNFLU5ctgA5UqoDG-yQnKzdu40YNWB8oief-0n4SY_CsI5ZrvtQHd97t_Zf1Jytpde8Gcx1_zdC8Fhz3OKM_JWL5zg6
Lake Speer - SE boat ramp,Orange,12/28/2021,DEP_CEN_ROC,Yes,Dominant taxon: Microcystis aeruginosa,Yes,Yes,0.45,I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.),,,,,,,,,Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin: not detected,,12/28/2021 18:35,28.4733,-81.5932,0.3,https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/3346/attachments/2950?token=5-9B4_qFJxwE43FpRKmTcizn9xE4gyQzR7iJriH_WSdv7PgrexGGAhHhsGpscZa8SH_qjt0z84tspBh9UZdaQiiM655xl5nYilYijuNFLU5ctgA5UqoDG-yQnKzdu40YNWB8oief-0n4SY_CsI5ZrvtQHd97t_Zf1Jytpde8Gcx1_zdC8Fhz3OKM_JWL5zg6
Crescent Lake - mouth of Dunns Creek (CRESLM),Putnam,12/28/2021,SJRWMD,No,mixed algae; no dominant species in sample,No,Yes,0.31,I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.),,,,,,,,,Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin: not detected; saxitoxins: not detected,,12/28/2021 18:33,29.52955556,-81.55372222,0.3,
Lake Jesup - Center (OW-CTR),Seminole,12/28/2021,SJRWMD,Yes,Dominant taxon: Cylindrospermopsis raciborskii,Yes,Yes,0.77,I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.),,,,,,,,,Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin: not detected; saxitoxins: not detected,,12/28/2021 16:28,28.7268,-81.2111,0.3,
St. Johns River - Beechers Point,Putnam,12/28/2021,DEP_NE_ROC,No,mixed algae; no dominant species in sample,No,Yes,0.31,I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.),,,,,,,,,Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin: not detected,,12/28/2021 15:35,29.466315,-81.6852968,0.3,https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/3344/attachments/2945?token=5-9B4_qFJxwE43FpRKmTcizn9xE4gyQzR7iJriH_WSdv7PgrexGGAhHhsGpscZa8SH_qjt0z84tspBh9UZdaQiiM655xl5nYilYijuNFLU5ctgA5UqoDG-yQnKzdu40YNWB8oief-0n4SY_CsI5ZrvtQHd97t_Zf1Jytpde8Gcx1_zdC8Fhz3OKM_JWL5zg6
Lake Monroe - Center (LMAC),Volusia,12/28/2021,SJRWMD,No,Dominant taxon: Microcystis sp.,Yes,No,,,,,,,,,,,Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin: not detected; saxitoxins: not detected,,12/28/2021 15:10,28.83496,-81.27091,0.3,
Lake Washington - Center (LWC),Brevard,12/28/2021,SJRWMD,No,mixed algae; no dominant species in sample,No,Yes,0.45,I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.),,,,,,,,,Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin: not detected; saxitoxins: not detected,,12/28/2021 13:37,28.14486497,-80.74611876,0.3,https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/3349/attachments/2952?token=5-9B4_qFJxwE43FpRKmTcizn9xE4gyQzR7iJriH_WSdv7PgrexGGAhHhsGpscZa8SH_qjt0z84tspBh9UZdaQiiM655xl5nYilYijuNFLU5ctgA5UqoDG-yQnKzdu40YNWB8oief-0n4SY_CsI5ZrvtQHd97t_Zf1Jytpde8Gcx1_zdC8Fhz3OKM_JWL5zg6
Lake Estelle - NE lobe ,Orange,12/27/2021,DEP_CEN_ROC,Yes,Dominant taxon: Microcystis aeruginosa,Yes,Yes,1.5,I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.),,,,,,,,,Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin: not detected,,12/27/2021 16:00,28.5771377,-81.3623294,0.2,https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/3338/attachments/2939?token=5-9B4_qFJxwE43FpRKmTcizn9xE4gyQzR7iJriH_WSdv7PgrexGGAhHhsGpscZa8SH_qjt0z84tspBh9UZdaQiiM655xl5nYilYijuNFLU5ctgA5UqoDG-yQnKzdu40YNWB8oief-0n4SY_CsI5ZrvtQHd97t_Zf1Jytpde8Gcx1_zdC8Fhz3OKM_JWL5zg6
Blue Cypress Lake - Center (BCL),IndianRiver,12/27/2021,SJRWMD,No,Dominant taxon: Microcystis aeruginosa,Yes,No,,,,,,,,,,,Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin: not detected; saxitoxins: not detected,,12/27/2021 14:39,27.73007874,-80.75563699,0.3,https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/3339/attachments/2942?token=5-9B4_qFJxwE43FpRKmTcizn9xE4gyQzR7iJriH_WSdv7PgrexGGAhHhsGpscZa8SH_qjt0z84tspBh9UZdaQiiM655xl5nYilYijuNFLU5ctgA5UqoDG-yQnKzdu40YNWB8oief-0n4SY_CsI5ZrvtQHd97t_Zf1Jytpde8Gcx1_zdC8Fhz3OKM_JWL5zg6
